question,intent_label
Is sardines high in sodium?,NUTRITION_LOOKUP
How many riboflavin calories does grapes have?,NUTRITION_LOOKUP
What is a healthy diet for someone with celiac disease?,HEALTH_ADVICE
Can hypothyroidism patients eat asparagus? What is the omega-6 fatty acids content?,BOTH
Is apples high in phosphorus?,NUTRITION_LOOKUP
What is the exact protein in two tablespoons whole wheat bread?,NUTRITION_LOOKUP
What vegetables are recommended for irritable bowel syndrome?,HEALTH_ADVICE
Does oranges have enough riboflavin to help with coronary artery disease?,BOTH
Should I avoid peanuts if I have gout attacks?,HEALTH_ADVICE
Are grains good for someone with metabolic syndrome?,HEALTH_ADVICE
How much niacin is there in a 150g portion of mango?,NUTRITION_LOOKUP
I need the vitamin A count for celery.,NUTRITION_LOOKUP
What is the exact selenium in a handful of turkey breast?,NUTRITION_LOOKUP
What dietary changes help with diabetes?,HEALTH_ADVICE
Can eating tofu help with arthritis?,HEALTH_ADVICE
How does eating potatoes affect chronic kidney disease given its high omega-3 fatty acids content?,BOTH
What foods help reduce symptoms of arthritis?,HEALTH_ADVICE
How rich is shrimp in zinc?,NUTRITION_LOOKUP
How many carbohydrates calories does peanuts have?,NUTRITION_LOOKUP
Is the omega-6 fatty acids level in lamb appropriate for someone with low blood pressure?,BOTH
Should someone with polycystic ovary syndrome limit dairy intake?,HEALTH_ADVICE
What dietary changes help with hypertension?,HEALTH_ADVICE
Is potatoes high in thiamine?,NUTRITION_LOOKUP
I need the potassium count for lobster.,NUTRITION_LOOKUP
What is the thiamine macro for shrimp?,NUTRITION_LOOKUP
How does diet affect obesity?,HEALTH_ADVICE
How much iron is there in a 3-ounce portion of tomatoes?,NUTRITION_LOOKUP
How does the calories in coconut oil compare to the daily requirement?,NUTRITION_LOOKUP
What eating habits help manage inflammatory bowel disease?,HEALTH_ADVICE
Is the sugar content of asparagus beneficial or harmful for insomnia?,BOTH
What should I eat if I have type 1 diabetes?,HEALTH_ADVICE
What is a healthy diet for someone with acid reflux?,HEALTH_ADVICE
How many riboflavin are in one serving of kiwi?,NUTRITION_LOOKUP
How does diet affect inflammatory bowel disease?,HEALTH_ADVICE
Are grains good for someone with kidney disease?,HEALTH_ADVICE
What role does the total fat in pumpkin seeds play for people with gout attacks?,BOTH
What proteins are best for a person with celiac disease?,HEALTH_ADVICE
What foods should people with diabetes avoid?,HEALTH_ADVICE
Can hyperthyroidism patients eat oranges? What is the riboflavin content?,BOTH
What is the nutritional value of kidney beans in terms of folate?,NUTRITION_LOOKUP
Is Greek yogurt a good source of zinc for people with diabetes?,BOTH
Should someone with type 2 diabetes eat pasta given its phosphorus content?,BOTH
What role does the cholesterol in bell peppers play for people with rheumatoid arthritis?,BOTH
Is almond butter good for gout attacks? How much omega-6 fatty acids does it contain?,BOTH
Is the carbohydrates content of sweet potatoes beneficial or harmful for hypothyroidism?,BOTH
Can low blood pressure patients eat white rice? What is the vitamin A content?,BOTH
How rich is tuna in riboflavin?,NUTRITION_LOOKUP
How much sugar is there in one cup of almonds?,NUTRITION_LOOKUP
Should I avoid edamame if I have PCOS?,HEALTH_ADVICE
How many grams of phosphorus are in walnuts?,NUTRITION_LOOKUP
How should someone with high blood pressure adjust their diet?,HEALTH_ADVICE
What fruits are safe for arthritis patients?,HEALTH_ADVICE
How should someone with acid reflux adjust their diet?,HEALTH_ADVICE
Is pinto beans high in vitamin A and beneficial for PCOS?,BOTH
What makes broccoli suitable or unsuitable for heart disease based on its vitamin D?,BOTH
I need the iron count for broccoli.,NUTRITION_LOOKUP
What proteins are best for a person with metabolic syndrome?,HEALTH_ADVICE
What is the exact magnesium in a 150g portion edamame?,NUTRITION_LOOKUP
What is the exact cholesterol in a 3-ounce portion peanuts?,NUTRITION_LOOKUP
How much sugar does chia seeds contain per serving?,NUTRITION_LOOKUP
What is the total selenium per a small bowl of cauliflower?,NUTRITION_LOOKUP
How does diet affect insomnia?,HEALTH_ADVICE
Are grains good for someone with iron-deficiency anemia?,HEALTH_ADVICE
Can you tell me the saturated fat in a 150g portion of coconut oil?,NUTRITION_LOOKUP
What fruits are safe for type 2 diabetes patients?,HEALTH_ADVICE
How many calories calories does plain yogurt have?,NUTRITION_LOOKUP
How much potassium does celery contain per serving?,NUTRITION_LOOKUP
Are there foods that worsen gluten intolerance?,HEALTH_ADVICE
Is cheddar cheese recommended or not recommended for anxiety?,HEALTH_ADVICE
What snacks are suitable for someone with lactose intolerance?,HEALTH_ADVICE
Are grains good for someone with gastritis?,HEALTH_ADVICE
How should someone with heart disease adjust their diet?,HEALTH_ADVICE
Can the potassium in mushrooms benefit anemia patients?,BOTH
How much phosphorus does black beans contain per serving?,NUTRITION_LOOKUP
Is plain yogurt recommended or not recommended for lactose intolerance?,HEALTH_ADVICE
Is the iron content of duck beneficial or harmful for GERD?,BOTH
Is apples a good source of thiamine for people with high blood pressure?,BOTH
What are the cholesterol levels in peaches?,NUTRITION_LOOKUP
How many saturated fat are in whole milk and is it safe for GERD?,BOTH
What foods help reduce symptoms of anxiety?,HEALTH_ADVICE
What vegetables are recommended for gastritis?,HEALTH_ADVICE
"For hyperthyroidism management, how much flaxseeds can I eat given its calcium content?",BOTH
Is oats recommended for chronic kidney disease? What is its protein content per serving?,BOTH
What is the vitamin D in chicken breast and is it good for type 2 diabetes?,BOTH
Is beets high in zinc?,NUTRITION_LOOKUP
Does tilapia have enough potassium to help with type 1 diabetes?,BOTH
What snacks are suitable for someone with metabolic syndrome?,HEALTH_ADVICE
What makes cauliflower suitable or unsuitable for heart disease based on its sugar?,BOTH
How many omega-3 fatty acids are in tempeh and is it safe for hypothyroidism?,BOTH
What fruits are safe for irritable bowel syndrome patients?,HEALTH_ADVICE
Is tempeh a good source of potassium for people with kidney disease?,BOTH
Is turkey breast high in magnesium?,NUTRITION_LOOKUP
How much calcium is in one serving of lentils and is that good for iron-deficiency anemia?,BOTH
How rich is tempeh in sugar?,NUTRITION_LOOKUP
What is the calories in spinach and is it good for gestational diabetes?,BOTH
What proteins are best for a person with type 1 diabetes?,HEALTH_ADVICE
What is the phosphorus macro for peanut butter?,NUTRITION_LOOKUP
What is a healthy diet for someone with arthritis?,HEALTH_ADVICE
What percentage of daily omega-3 fatty acids is in zucchini?,NUTRITION_LOOKUP
What foods help reduce symptoms of osteoporosis?,HEALTH_ADVICE
How does the sugar in duck compare to the daily requirement?,NUTRITION_LOOKUP
Diet recommendations for low blood pressure patients?,HEALTH_ADVICE
What fruits are safe for metabolic syndrome patients?,HEALTH_ADVICE
Is broccoli recommended or not recommended for kidney disease?,HEALTH_ADVICE
What role does the calcium in mushrooms play for people with irritable bowel syndrome?,BOTH
What vegetables are recommended for cardiovascular disease?,HEALTH_ADVICE
What is the iron content of quinoa?,NUTRITION_LOOKUP
What is the total calories per 100 grams of kiwi?,NUTRITION_LOOKUP
How many grams of sodium are in apples?,NUTRITION_LOOKUP
What are the carbohydrates levels in sardines?,NUTRITION_LOOKUP
What role does the vitamin C in butter play for people with PCOS?,BOTH
Is sardines high in vitamin C and beneficial for insomnia?,BOTH
What is a healthy diet for someone with gout attacks?,HEALTH_ADVICE
Is brown rice high in vitamin A and beneficial for celiac disease?,BOTH
Give me the vitamin D value for 100 grams of edamame.,NUTRITION_LOOKUP
"For low blood pressure management, how much lentils can I eat given its folate content?",BOTH
Best foods for managing anemia?,HEALTH_ADVICE
What is the best diet for controlling depression?,HEALTH_ADVICE
Give me the iron value for a small bowl of chia seeds.,NUTRITION_LOOKUP
Can gout patients eat blueberries? What is the sugar content?,BOTH
Is bell peppers recommended for high blood pressure? What is its riboflavin content per serving?,BOTH
How much total fat does sardines contain per serving?,NUTRITION_LOOKUP
Diet recommendations for coronary artery disease patients?,HEALTH_ADVICE
How many iron are in one serving of oats?,NUTRITION_LOOKUP
Can eating beets help with gestational diabetes?,HEALTH_ADVICE
What is the thiamine content of coconut oil?,NUTRITION_LOOKUP
How does the sugar in peanuts compare to the daily requirement?,NUTRITION_LOOKUP
What is the total vitamin D per 200 calories worth of celery?,NUTRITION_LOOKUP
How much vitamin D is in one serving of pineapple and is that good for diabetes?,BOTH
How much niacin is there in one ounce of coconut oil?,NUTRITION_LOOKUP
Is watermelon high in zinc and beneficial for gluten intolerance?,BOTH
What proteins are best for a person with elevated LDL cholesterol?,HEALTH_ADVICE
Is spinach recommended for type 2 diabetes? What is its vitamin B12 content per serving?,BOTH
What is the omega-6 fatty acids macro for tofu?,NUTRITION_LOOKUP
Is skim milk high in total fat?,NUTRITION_LOOKUP
Should I avoid whole milk if I have hypertension?,HEALTH_ADVICE
What role does the magnesium in crab play for people with iron-deficiency anemia?,BOTH
Diet recommendations for PCOS patients?,HEALTH_ADVICE
What foods should people with chronic kidney disease avoid?,HEALTH_ADVICE
What role does the omega-6 fatty acids in sweet potatoes play for people with insomnia?,BOTH
How does mozzarella's protein level relate to heart disease?,BOTH
Are there foods that worsen metabolic syndrome?,HEALTH_ADVICE
Is one ounce of cashews too much fiber for a anxiety patient?,BOTH
How much cholesterol does kiwi contain per serving?,NUTRITION_LOOKUP
What fruits are safe for acid reflux patients?,HEALTH_ADVICE
What proteins are best for a person with obesity?,HEALTH_ADVICE
What eating habits help manage fatty liver disease?,HEALTH_ADVICE
Which foods are beneficial for people with fatty liver disease?,HEALTH_ADVICE
Is almond butter recommended or not recommended for cardiovascular disease?,HEALTH_ADVICE
How many iron are in plain yogurt and is it safe for anxiety?,BOTH
Is grapes high in fiber?,NUTRITION_LOOKUP
Can people with anemia eat peanut butter?,HEALTH_ADVICE
How does the vitamin C in broccoli compare to the daily requirement?,NUTRITION_LOOKUP
What foods should people with gout attacks avoid?,HEALTH_ADVICE
Can people with iron-deficiency anemia eat kale?,HEALTH_ADVICE
"For cardiovascular disease management, how much turkey breast can I eat given its fiber content?",BOTH
Is kidney beans high in folate?,NUTRITION_LOOKUP
What proteins are best for a person with hypertension?,HEALTH_ADVICE
Is beets a good source of calcium for people with depression?,BOTH
Should I avoid avocado if I have lactose intolerance?,HEALTH_ADVICE
What are the sugar levels in brown rice?,NUTRITION_LOOKUP
What fruits are safe for insomnia patients?,HEALTH_ADVICE
How much calories is there in one tablespoon of walnuts?,NUTRITION_LOOKUP
How many iron calories does cabbage have?,NUTRITION_LOOKUP
What are the fiber levels in quinoa?,NUTRITION_LOOKUP
What is the total thiamine per one ounce of tilapia?,NUTRITION_LOOKUP
Does sweet potatoes have a lot of vitamin A?,NUTRITION_LOOKUP
Is the vitamin B12 level in duck appropriate for someone with GERD?,BOTH
How should someone with metabolic syndrome adjust their diet?,HEALTH_ADVICE
What is the exact saturated fat in one cup plain yogurt?,NUTRITION_LOOKUP
Can you tell me the total fat in two tablespoons of chia seeds?,NUTRITION_LOOKUP
Is Greek yogurt high in selenium?,NUTRITION_LOOKUP
What is the total zinc per a 3-ounce portion of whole milk?,NUTRITION_LOOKUP
What is the exact niacin in one cup oats?,NUTRITION_LOOKUP
How much vitamin C is in one tablespoon of pasta and is that good for gout?,BOTH
How rich is edamame in sodium?,NUTRITION_LOOKUP
How much total fat is there in a handful of of barley?,NUTRITION_LOOKUP
Can Greek yogurt help control osteoporosis because of its selenium?,BOTH
How many zinc are in beets and is it safe for osteoporosis?,BOTH
How much protein is in a small bowl of mushrooms and is that good for kidney disease?,BOTH
How does lobster's carbohydrates level relate to obesity?,BOTH
How does eating cheddar cheese affect diabetes given its high riboflavin content?,BOTH
Can salmon help control hypertension because of its thiamine?,BOTH
Which foods are beneficial for people with arthritis?,HEALTH_ADVICE
Is cabbage high in riboflavin?,NUTRITION_LOOKUP
"For high blood pressure management, how much peanuts can I eat given its protein content?",BOTH
How much omega-3 fatty acids does mango contain per serving?,NUTRITION_LOOKUP
What foods help reduce symptoms of PCOS?,HEALTH_ADVICE
What fruits are safe for depression patients?,HEALTH_ADVICE
What is the total fiber per 200 calories worth of cabbage?,NUTRITION_LOOKUP
Is cod a good source of zinc for people with gluten intolerance?,BOTH
What is the best diet for controlling anxiety?,HEALTH_ADVICE
How rich is whole wheat bread in vitamin C?,NUTRITION_LOOKUP
Is it safe to eat salmon with elevated LDL cholesterol?,HEALTH_ADVICE
Is a low-carb diet good for high blood pressure?,HEALTH_ADVICE
What is the calcium macro for carrots?,NUTRITION_LOOKUP
I need the calcium count for beets.,NUTRITION_LOOKUP
What is the riboflavin breakdown for cheddar cheese?,NUTRITION_LOOKUP
Is the calcium level in almonds appropriate for someone with chronic kidney disease?,BOTH
Is a low-carb diet good for cardiovascular disease?,HEALTH_ADVICE
Is tofu high in zinc?,NUTRITION_LOOKUP
Should someone with gout attacks limit dairy intake?,HEALTH_ADVICE
What is the exact omega-3 fatty acids in one ounce brown rice?,NUTRITION_LOOKUP
Does lobster have a lot of potassium?,NUTRITION_LOOKUP
Should I avoid oats if I have hyperthyroidism?,HEALTH_ADVICE
Does lentils have enough sugar to help with rheumatoid arthritis?,BOTH
How much potassium is there in a handful of of tilapia?,NUTRITION_LOOKUP
What should I eat if I have acid reflux?,HEALTH_ADVICE
What dietary changes help with insomnia?,HEALTH_ADVICE
I need the niacin count for lentils.,NUTRITION_LOOKUP
How does diet affect cardiovascular disease?,HEALTH_ADVICE
How does diet affect coronary artery disease?,HEALTH_ADVICE
Can eating pineapple help with gout?,HEALTH_ADVICE
Is shrimp high in vitamin D?,NUTRITION_LOOKUP
What is a healthy diet for someone with type 1 diabetes?,HEALTH_ADVICE
Can eating pumpkin seeds help with anxiety?,HEALTH_ADVICE
What is the vitamin A breakdown for potatoes?,NUTRITION_LOOKUP
Is quinoa a good source of carbohydrates for people with polycystic ovary syndrome?,BOTH
Should someone with gastritis limit dairy intake?,HEALTH_ADVICE
I need the saturated fat count for coconut oil.,NUTRITION_LOOKUP
How many grams of total fat are in bananas?,NUTRITION_LOOKUP
What is the cholesterol breakdown for coconut oil?,NUTRITION_LOOKUP
What is the exact carbohydrates in one tablespoon Greek yogurt?,NUTRITION_LOOKUP
How many sugar are in a 3-ounce portion of lamb?,NUTRITION_LOOKUP
Can lamb help control gluten intolerance because of its total fat?,BOTH
Can people with chronic kidney disease eat kiwi?,HEALTH_ADVICE
Best foods for managing depression?,HEALTH_ADVICE
How does the calories in oranges compare to the daily requirement?,NUTRITION_LOOKUP
What is the best diet for controlling rheumatoid arthritis?,HEALTH_ADVICE
Best foods for managing insomnia?,HEALTH_ADVICE
"For elevated LDL cholesterol management, how much black beans can I eat given its vitamin B12 content?",BOTH
Is the omega-3 fatty acids level in tempeh appropriate for someone with hypertension?,BOTH
Does strawberries have a lot of riboflavin?,NUTRITION_LOOKUP
Is the fiber content of soybeans beneficial or harmful for gestational diabetes?,BOTH
Is a low-carb diet good for hypothyroidism?,HEALTH_ADVICE
Is the riboflavin content of chicken breast beneficial or harmful for depression?,BOTH
What is the best diet for controlling high blood pressure?,HEALTH_ADVICE
Should someone with chronic kidney disease eat duck given its zinc content?,BOTH
Can eating pasta help with anemia?,HEALTH_ADVICE
What is the niacin in walnuts and is it good for diabetes?,BOTH
Is cucumber recommended or not recommended for obesity?,HEALTH_ADVICE
Is two tablespoons of plain yogurt too much calories for a high blood pressure patient?,BOTH
Best foods for managing osteoporosis?,HEALTH_ADVICE
Is a low-carb diet good for inflammatory bowel disease?,HEALTH_ADVICE
Are there foods that worsen low blood pressure?,HEALTH_ADVICE
Which foods are beneficial for people with rheumatoid arthritis?,HEALTH_ADVICE
What is the total phosphorus per one piece of salmon?,NUTRITION_LOOKUP
Is it safe to eat kiwi with anemia?,HEALTH_ADVICE
Give me the selenium value for one cup of flaxseeds.,NUTRITION_LOOKUP
What foods should people with low blood pressure avoid?,HEALTH_ADVICE
What should I eat if I have hypertension?,HEALTH_ADVICE
What role does the fiber in oranges play for people with gout?,BOTH
What snacks are suitable for someone with high cholesterol?,HEALTH_ADVICE
Which foods are beneficial for people with gastritis?,HEALTH_ADVICE
What snacks are suitable for someone with gastritis?,HEALTH_ADVICE
How many cholesterol are in whole wheat bread and is it safe for anemia?,BOTH
I need the phosphorus count for kale.,NUTRITION_LOOKUP
How many riboflavin are in grapes and is it safe for hyperthyroidism?,BOTH
How rich is plain yogurt in potassium?,NUTRITION_LOOKUP
What eating habits help manage rheumatoid arthritis?,HEALTH_ADVICE
Is kale a good source of sodium for people with type 2 diabetes?,BOTH
How many niacin calories does tempeh have?,NUTRITION_LOOKUP
Is pineapple recommended for lactose intolerance? What is its vitamin A content per serving?,BOTH
Is mango recommended or not recommended for coronary artery disease?,HEALTH_ADVICE
How many grams of potassium are in cashews?,NUTRITION_LOOKUP
What proteins are best for a person with insomnia?,HEALTH_ADVICE
Best foods for managing hyperthyroidism?,HEALTH_ADVICE
How many grams of omega-3 fatty acids are in almond butter?,NUTRITION_LOOKUP
What are the vitamin C levels in butter?,NUTRITION_LOOKUP
Is coconut oil recommended or not recommended for fatty liver disease?,HEALTH_ADVICE
How does eating white rice affect chronic kidney disease given its high protein content?,BOTH
Is pork loin high in omega-6 fatty acids and beneficial for hypothyroidism?,BOTH
How many vitamin A are in green peas and is it safe for insomnia?,BOTH
What snacks are suitable for someone with high blood pressure?,HEALTH_ADVICE
How many phosphorus calories does chickpeas have?,NUTRITION_LOOKUP
I need the vitamin A count for broccoli.,NUTRITION_LOOKUP
What makes crab suitable or unsuitable for gout attacks based on its phosphorus?,BOTH
What is the vitamin C breakdown for watermelon?,NUTRITION_LOOKUP
How does olive oil's omega-3 fatty acids level relate to coronary artery disease?,BOTH
What is the best diet for controlling gout attacks?,HEALTH_ADVICE
Can you tell me the vitamin D in 200 calories worth of chicken breast?,NUTRITION_LOOKUP
What role does the protein in tomatoes play for people with coronary artery disease?,BOTH
Is cabbage recommended or not recommended for heart disease?,HEALTH_ADVICE
What is the phosphorus breakdown for whole wheat bread?,NUTRITION_LOOKUP
Can people with gout eat shrimp?,HEALTH_ADVICE
What should I eat if I have elevated LDL cholesterol?,HEALTH_ADVICE
How much selenium is in two tablespoons of coconut oil and is that good for high cholesterol?,BOTH
How many calcium are in crab and is it safe for chronic kidney disease?,BOTH
What is the exact omega-6 fatty acids in half a cup grapes?,NUTRITION_LOOKUP
What is a healthy diet for someone with heart disease?,HEALTH_ADVICE
Can people with gastritis eat spinach?,HEALTH_ADVICE
What should I eat if I have inflammatory bowel disease?,HEALTH_ADVICE
How rich is strawberries in vitamin A?,NUTRITION_LOOKUP
What is the omega-3 fatty acids macro for grapes?,NUTRITION_LOOKUP
Should someone with gluten intolerance eat cottage cheese given its calories content?,BOTH
Can hyperthyroidism patients eat beef? What is the riboflavin content?,BOTH
Is potatoes a good source of vitamin B12 for people with high blood pressure?,BOTH
Is salmon recommended for lactose intolerance? What is its fiber content per serving?,BOTH
What is the total protein per a small bowl of crab?,NUTRITION_LOOKUP
Is the selenium level in zucchini appropriate for someone with obesity?,BOTH
Are there foods that worsen inflammatory bowel disease?,HEALTH_ADVICE
How does garlic's calories level relate to hyperthyroidism?,BOTH
What foods help reduce symptoms of hyperthyroidism?,HEALTH_ADVICE
What role does the vitamin C in garlic play for people with iron-deficiency anemia?,BOTH
What is a healthy diet for someone with rheumatoid arthritis?,HEALTH_ADVICE
How should someone with kidney disease adjust their diet?,HEALTH_ADVICE
Can people with anxiety eat oats?,HEALTH_ADVICE
Can osteoporosis patients eat olive oil? What is the vitamin C content?,BOTH
Is pinto beans recommended or not recommended for osteoporosis?,HEALTH_ADVICE
Is sunflower seeds recommended or not recommended for iron-deficiency anemia?,HEALTH_ADVICE
What is the sodium breakdown for potatoes?,NUTRITION_LOOKUP
Can the niacin in broccoli benefit low blood pressure patients?,BOTH
How many vitamin B12 are in Greek yogurt and is it safe for cardiovascular disease?,BOTH
Best foods for managing celiac disease?,HEALTH_ADVICE
How many selenium are in a 3-ounce portion of potatoes?,NUTRITION_LOOKUP
Does whole milk have enough phosphorus to help with celiac disease?,BOTH
I need the folate count for lamb.,NUTRITION_LOOKUP
How much carbohydrates does tempeh contain per serving?,NUTRITION_LOOKUP
What vegetables are recommended for low blood pressure?,HEALTH_ADVICE
What is the omega-6 fatty acids in mozzarella and is it good for PCOS?,BOTH
How does eating whole milk affect PCOS given its high cholesterol content?,BOTH
Is strawberries recommended or not recommended for iron-deficiency anemia?,HEALTH_ADVICE
Are there foods that worsen high cholesterol?,HEALTH_ADVICE
Give me the vitamin C value for two tablespoons of cauliflower.,NUTRITION_LOOKUP
How should someone with elevated LDL cholesterol adjust their diet?,HEALTH_ADVICE
Give me the potassium value for a 3-ounce portion of shrimp.,NUTRITION_LOOKUP
I need the selenium count for zucchini.,NUTRITION_LOOKUP
Are grains good for someone with type 1 diabetes?,HEALTH_ADVICE
Can high cholesterol patients eat skim milk? What is the folate content?,BOTH
What are the magnesium levels in black beans?,NUTRITION_LOOKUP
How much vitamin A is there in 100 grams of broccoli?,NUTRITION_LOOKUP
What should I eat if I have hyperthyroidism?,HEALTH_ADVICE
What is the exact cholesterol in a medium portion sunflower seeds?,NUTRITION_LOOKUP
How much sugar is in 100g of beets and is that good for coronary artery disease?,BOTH
How many omega-3 fatty acids calories does black beans have?,NUTRITION_LOOKUP
How much vitamin C is there in one cup of crab?,NUTRITION_LOOKUP
How much vitamin D is there in one tablespoon of whole milk?,NUTRITION_LOOKUP
Can eating cashews help with kidney disease?,HEALTH_ADVICE
Is celery high in folate?,NUTRITION_LOOKUP
What is the best diet for controlling gastritis?,HEALTH_ADVICE
What should I eat if I have irritable bowel syndrome?,HEALTH_ADVICE
Can eating white bread help with osteoporosis?,HEALTH_ADVICE
How does butter's omega-3 fatty acids level relate to insomnia?,BOTH
Can carrots help control coronary artery disease because of its vitamin A?,BOTH
"For high blood pressure management, how much kiwi can I eat given its sugar content?",BOTH
What dietary changes help with gastritis?,HEALTH_ADVICE
What foods help reduce symptoms of insomnia?,HEALTH_ADVICE
How many sodium are in 100 grams of pumpkin seeds?,NUTRITION_LOOKUP
Can carrots help control hyperthyroidism because of its sugar?,BOTH
What are the saturated fat levels in plain yogurt?,NUTRITION_LOOKUP
Is two tablespoons of tilapia too much vitamin C for a gout attacks patient?,BOTH
Can gout attacks patients eat white bread? What is the vitamin C content?,BOTH
I need the sugar count for celery.,NUTRITION_LOOKUP
