id,question,old_expected_intent,current_predicted_intent,suggested_intent,final_label,needs_manual_review,reason
32,Can Docosahexaenoic acid (DHA) derived from microalgae inhibit breast cancer cells?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
33,What is the most effective home method to clean fresh produce to remove bacteria?,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,no,health/research question; no explicit USDA nutrition lookup cue
34,Is boric acid powder an effective treatment for vulvovaginal candidiasis?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
35,Why is boric acid teratogenic?,HEALTH_ADVICE,NUTRITION_LOOKUP,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
36,Does consuming fiber protect against esophageal cancer?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
37,What are the dangers of ingesting concentrated hydrogen peroxide?,HEALTH_ADVICE,NUTRITION_LOOKUP,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
38,How does gamma-irradiation affect vitamins in baby-leaf spinach?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
39,Are microgreens more nutritious than mature leaves?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
40,Can Ganoderma lucidum (Lingzhi) mushroom powder cause liver damage?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
41,How does bitter melon affect prostate cancer progression?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
42,Can drinking Yerba Mate tea improve bone health in postmenopausal women?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
43,Does the Mediterranean diet influence atrial fibrillation?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
44,Do energy drinks affect blood vessels or blood clotting?,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,no,health/research question; no explicit USDA nutrition lookup cue
45,How do different cooking methods affect the oxalate content of vegetables?,BOTH,BOTH,BOTH,HEALTH_ADVICE,no,manual review: asks about research/effect of cooking on oxalate; not an exact USDA nutrition lookup
46,Is Ceylon cinnamon proven to lower postprandial glucose in people with impaired glucose tolerance?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
47,Does tea drinking cause iron deficiency?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
48,Are there toxic risks to eating Moringa stenopetala leaves and seeds?,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,no,health/research question; no explicit USDA nutrition lookup cue
49,Does pasteurization destroy essential vitamins in milk?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
50,Does crushing garlic before cooking affect its antiplatelet activity?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
51,What is the primary danger of the amoeba Naegleria fowleri?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
52,Can consuming a combination of fructose and erythritol increase gastrointestinal symptoms?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
53,Are vegetarian children at risk for specific vitamin deficiencies compared to omnivores?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
54,Is krill oil more effective than fish oil in managing hyperlipidemia?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
55,Can recurrent arthritis in childhood be linked to undiagnosed celiac disease?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
56,Does a vegetarian or low animal protein diet prevent kidney stones?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
57,Does Vitamin C supplementation increase the risk of kidney stones?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
58,Are there benefits to using Aloe vera cream for second-degree burns compared to silver sulfadiazine?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
59,Are multivitamin supplements proven to reduce the risk of breast cancer?,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,no,health/research question; no explicit USDA nutrition lookup cue
60,Does Capsaicin pose safety risks as an ingredient in cosmetics?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
61,Can high homocysteine levels and B-vitamin deficiency cause brain atrophy in the elderly?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
62,Can PBDE exposure impact child neurodevelopment?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
63,Is peppermint oil effective for treating irritable bowel syndrome (IBS)?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
64,Does placebo treatment work for IBS even if the patient knows it is a placebo?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
65,Does a high intake of saturated fats contribute to Non-Alcoholic Fatty Liver Disease (NAFLD)?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
66,Can cyanotoxins in the environment cause ALS or neurodegenerative disease?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
67,Is yeast beta-glucan effective for preventing common colds?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
68,Can whole grain consumption help prevent type 2 diabetes and body weight gain?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
69,Are organic foods substantially more nutritious than conventional foods?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
70,Is Proteus mirabilis bacteria linked to Rheumatoid Arthritis?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
