id,text,label,source,review_status,notes
34,How much potassium does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
35,How much magnesium is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
36,What is the magnesium content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
37,How much magnesium does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
38,How much vitamin C is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
39,What is the vitamin C content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
40,How much vitamin C does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
41,How much vitamin B12 is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
42,What is the vitamin B12 content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
43,How much vitamin B12 does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
44,How much omega-3 is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
45,What is the omega-3 content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
46,How much omega-3 does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
47,How many calories are in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
48,What is the calorie content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
49,How many calories are in one serving of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
50,"Show me the calories, protein, fat, and carbs in 100g of salmon.",NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
51,What are the USDA nutrition facts for salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
52,How much protein is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
53,What is the protein content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
54,How much protein does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
55,How much carbohydrates is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
56,What is the carbohydrates content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
57,How much carbohydrates does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
58,How much fat is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
59,What is the fat content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
60,How much fat does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
61,How much fiber is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
62,What is the fiber content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
63,How much fiber does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
64,How much sugar is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
65,What is the sugar content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
66,How much sugar does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
67,How much sodium is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
68,What is the sodium content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
69,How much sodium does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
70,How much cholesterol is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
71,What is the cholesterol content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
72,How much cholesterol does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
73,How much calcium is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
74,What is the calcium content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
75,How much calcium does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
76,How much iron is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
77,What is the iron content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
78,How much iron does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
79,How much potassium is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
80,What is the potassium content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
81,How much potassium does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
82,How much magnesium is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
83,What is the magnesium content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
84,How much magnesium does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
85,How much vitamin C is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
86,What is the vitamin C content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
87,How much vitamin C does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
88,How much vitamin B12 is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
89,What is the vitamin B12 content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
90,How much vitamin B12 does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
91,How much omega-3 is in 100g of salmon?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
92,What is the omega-3 content of salmon per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
93,How much omega-3 does salmon contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
94,How many calories are in 100g of avocado?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
95,What is the calorie content of avocado per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
96,How many calories are in one serving of avocado?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
97,"Show me the calories, protein, fat, and carbs in 100g of avocado.",NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
98,What are the USDA nutrition facts for avocado?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
99,How much protein is in 100g of avocado?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
100,Is Hibiscus sabdariffa helpful in lowering cholesterol for metabolic syndrome patients?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
101,Can ginger help alleviate nausea and vomiting during pregnancy?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
102,Does drinking grapefruit juice affect cardiovascular health and cause drug interactions?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
103,Does consumption of cooking oil and fish oil capsules affect octylphenol concentrations in breast milk?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
104,How does dietary phosphorus or phosphate additives in grain products affect cardiovascular health?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
105,Is statin use associated with improved survival rates in breast cancer patients?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
106,Can prenatal exposure to methylmercury affect a child's attention span later in life?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
107,Are there safe alternatives to NSAIDs for managing severe primary dysmenorrhea?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
108,Is surgery an effective and recommended treatment for severe mastalgia?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
109,Does Hibiscus sabdariffa have a uricosuric effect?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
110,Can high doses of Hibiscus sabdariffa extract cause testicular toxicity?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
111,Can marinades containing hibiscus extract prevent the formation of carcinogens in fried meat?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
112,Is taking Hibiscus sabdariffa safe when using diclofenac?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
113,Does common fructose consumption cause gastrointestinal distress in healthy adults?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
114,Can alpha-galactosidase supplements help reduce intestinal gas from eating beans?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
115,How effective are charcoal-containing garments at reducing flatus odor?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
116,Is abnormal lipid metabolism linked to Alzheimer's disease pathology?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
117,Does continuous low-dose aspirin increase the risk of gastroduodenal ulcers?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
118,Can saffron be used to treat mild-to-moderate depression?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
119,Is saffron effective in treating male erectile dysfunction?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
120,Does high egg consumption increase cardiovascular disease risk in older adults?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
121,How do phytoestrogens affect estrogen production in humans?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
122,Does consuming a high-soy diet alter estrogen levels in breast nipple aspirate fluid?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
123,"What is the effect of a dietary portfolio containing plant sterols, soy, and almonds on LDL cholesterol?",HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
124,Is telomere length affected by diet and micronutrients?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
125,Can adding spices to a meal improve metabolism and antioxidant status?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
126,What effect does obesity have on women with polycystic ovary syndrome (PCOS)?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
127,Does maca consumption improve health in high-altitude populations?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
128,Is a hypocaloric diet better than metformin for improving insulin resistance in PCOS?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
129,Does marjoram tea affect the hormonal profile in women with PCOS?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
130,Are high-protein diets more effective than standard diets for weight loss in PCOS?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
131,Does structured exercise training alongside diet improve fertility in obese PCOS patients?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
132,Can Docosahexaenoic acid (DHA) derived from microalgae inhibit breast cancer cells?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
133,What is the most effective home method to clean fresh produce to remove bacteria?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
134,Is boric acid powder an effective treatment for vulvovaginal candidiasis?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
135,Why is boric acid teratogenic?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
136,Does consuming fiber protect against esophageal cancer?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
137,What are the dangers of ingesting concentrated hydrogen peroxide?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
138,How does gamma-irradiation affect vitamins in baby-leaf spinach?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
139,Are microgreens more nutritious than mature leaves?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
140,Can Ganoderma lucidum (Lingzhi) mushroom powder cause liver damage?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
141,How does bitter melon affect prostate cancer progression?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
142,Can drinking Yerba Mate tea improve bone health in postmenopausal women?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
143,Does the Mediterranean diet influence atrial fibrillation?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
144,Do energy drinks affect blood vessels or blood clotting?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
145,How do different cooking methods affect the oxalate content of vegetables?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
146,Is Ceylon cinnamon proven to lower postprandial glucose in people with impaired glucose tolerance?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
147,Does tea drinking cause iron deficiency?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
148,Are there toxic risks to eating Moringa stenopetala leaves and seeds?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
149,Does pasteurization destroy essential vitamins in milk?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
150,Does crushing garlic before cooking affect its antiplatelet activity?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
151,What is the primary danger of the amoeba Naegleria fowleri?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
152,Can consuming a combination of fructose and erythritol increase gastrointestinal symptoms?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
153,Are vegetarian children at risk for specific vitamin deficiencies compared to omnivores?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
154,Is krill oil more effective than fish oil in managing hyperlipidemia?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
155,Can recurrent arthritis in childhood be linked to undiagnosed celiac disease?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
156,Does a vegetarian or low animal protein diet prevent kidney stones?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
157,Does Vitamin C supplementation increase the risk of kidney stones?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
158,Are there benefits to using Aloe vera cream for second-degree burns compared to silver sulfadiazine?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
159,Are multivitamin supplements proven to reduce the risk of breast cancer?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
160,Does Capsaicin pose safety risks as an ingredient in cosmetics?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
161,Can high homocysteine levels and B-vitamin deficiency cause brain atrophy in the elderly?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
162,Can PBDE exposure impact child neurodevelopment?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
163,Is peppermint oil effective for treating irritable bowel syndrome (IBS)?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
164,Does placebo treatment work for IBS even if the patient knows it is a placebo?,HEALTH_ADVICE,hotpot_relabel_review,reviewed_by_codex_schema_v1,food/herb/research question; no exact USDA nutrition lookup requested
